PM10,O3,SO2,PM2.5,NO2,CO,V13305,V10004_700,V11291_700,V12001_700,V13003_700
152.0,41.0,31.0,128,69.0,2.0,0.0,1026.8,0.7,2.5,82.0
124.0,95.0,14.0,57,73.0,1.2,0.0,1014.3,0.7,14.3,78.0
138.0,90.0,25.0,75,54.0,1.2,0.0,1009.3,1.5,16.8,83.0
66.0,137.0,6.0,22,32.0,0.7,0.0,1005.23,2.08,33.0,63.75
50.0,31.0,11.0,48,34.0,1.5,15.0,1014.3,2.3,13.2,98.0
56.0,173.0,9.0,34,31.0,0.7,0.0,1004.7,0.7,26.8,73.8
49.0,95.0,4.0,33,34.0,0.9,6.7,1004.33,0.9,24.63,92.75
48.0,53.0,5.0,36,14.0,0.7,19.3,1022.5,3.2,5.5,92.5
47.0,105.0,6.0,20,25.0,0.6,0.0,1000.78,2.03,28.38,83.0
51.0,99.0,8.0,31,35.0,0.8,0.6,1005.0,1.5,22.1,77.3
36.0,88.0,4.0,10,19.0,0.5,0.0,1002.15,2.9,31.73,65.0
9.0,38.0,5.0,6,27.0,0.9,19.0,1020.2,2.7,13.6,97.5
94.0,194.0,12.0,36,60.0,0.9,0.0,1009.2,1.1,24.3,80.5
127.0,106.0,27.0,75,86.0,1.3,0.0,1018.53,1.1,11.05,75.5
68.0,62.0,3.0,24,19.0,0.6,6.2,1011.4,2.8,19.2,88.8
32.0,140.0,8.0,19,32.0,0.5,0.0,1014.4,1.5,16.8375,65.625
12.0,85.0,6.0,7,12.0,0.7,0.0,1010.9125,2.125,22.4875,77.875
85.0,58.0,8.0,62,52.0,0.8,0.0,1025.55,0.875,2.85,75.625
90.0,77.0,11.0,80,48.0,1.2,0.0,1028.95,1.15,7.88,70.75
34.0,65.0,5.0,20,33.0,0.6,1.2,1018.2,1.4,15.8,87.3
95.0,59.0,12.0,56,59.0,0.9,0.0,1018.9,0.7,10.7,84.5
27.0,137.0,5.0,17,20.0,0.8,0.025,998.6625,2.0,29.4,77.5
56.0,45.0,5.0,67,28.0,1.2,3.5,1028.53,1.38,2.55,94.5
87.0,75.0,13.0,66,55.0,0.7,0.0,1029.1,1.4,1.4,60.3
63.0,52.0,8.0,56,48.0,1.0,0.0,1024.0,1.3,1.9,84.3
101.0,38.0,10.0,61,89.0,1.3,0.0,1027.7,0.3,4.5,82.0
35.0,108.0,10.0,11,19.0,0.7,0.0,1011.75,3.125,24.875,44.25
